Gene,logFC,logCPM,LR,PValue,FDR
OASL,4.244347891,3.197512895,48.92148585,2.66E-12,4.04E-08
RGS1,4.911207169,1.174369401,41.27171784,1.32E-10,1.00E-06
IFI44L,4.611437646,6.279619539,33.90364227,5.79E-09,2.92E-05
HERC5,2.963385766,2.835408226,30.3962921,3.52E-08,0.000133405
MX2,3.39960635,5.63294812,26.79046352,2.27E-07,0.000687109
RSAD2,3.353292155,4.425416328,25.87552564,3.64E-07,0.000919557
ZBP1,5.246265045,-0.102906241,24.54621407,7.25E-07,0.001570266
IFIT1,3.94135622,7.088124251,23.84278566,1.05E-06,0.001979723
IFI6,3.975569619,7.227336007,21.38797387,3.75E-06,0.006314882
ISG15,3.616688192,5.995244538,20.79821494,5.10E-06,0.007731632
CMPK2,2.892176828,4.422498907,20.18000541,7.05E-06,0.009708465
IFIT2,3.243964904,6.613106698,19.84111486,8.42E-06,0.009937189
XAF1,2.477530741,6.286088363,19.81604397,8.53E-06,0.009937189
OAS2,1.849515604,7.108248253,19.51106902,1.00E-05,0.010824137
DDX60L,1.616830299,5.306364519,18.3364859,1.85E-05,0.017952405
TNFSF13B,2.978329417,1.273358253,18.29117044,1.90E-05,0.017952405
EGR1,1.442175833,6.007051707,18.01537247,2.19E-05,0.019529488
IFI44,1.755460677,6.304529525,17.62399532,2.69E-05,0.02061255
CXCL11,5.408208494,2.951730508,17.60525384,2.72E-05,0.02061255
IFIT3,3.28588609,6.908349311,17.60344558,2.72E-05,0.02061255
CXCL10,4.467483759,4.225781313,17.11128452,3.53E-05,0.025433642
LOC107987206,-2.153435076,3.938302742,16.81489454,4.12E-05,0.027145712
RN7SL1,-2.153435076,3.938302742,16.81489454,4.12E-05,0.027145712
IFITM1,2.652528928,6.846522304,16.60946623,4.59E-05,0.028989701
